"title","tag","serving","ingredients","rating","time","instructions","link"
"BLT Pasta","Pastas,Arugula,Bacon,Cherry Tomato,Pasta,Dinner,Lunch,Weekday,Weeknight,Main Course,Summer","Yield: 4 to 6 servings","1
pound paccheri pasta or other tubelike shape, such as penne or rigatoni
8
ounces bacon, diced into ½-inch pieces
1
pound cherry tomatoes, halved

Kosher salt (such as Diamond Crystal) and black pepper
5
ounces baby arugula
½
cup grated Pecorino Romano, plus more for serving

Flaky salt, for serving (optional)","1752 user ratings","30 minutes","Step 1
Bring a large pot of well-salted water (2 heaping tablespoons kosher salt to about 7 quarts water) to a boil. Add pasta and cook until it is just under al dente, 1 minute less than package directions. Reserve 1 cup of the pasta cooking water, and drain the pasta.
Step 2
Meanwhile, make the sauce: Place the bacon in a large skillet and cook over medium-low heat until crisp, stirring occasionally to make sure it does not burn, about 8 minutes. Remove with a slotted spoon and set aside on a plate lined with paper towels. Turn heat to medium and add the tomatoes to the skillet, tossing them to coat in the bacon fat. Season with salt and pepper. As the moisture from the tomatoes releases, scrape any browned bits that have accumulated at the bottom of the pan (add a few tablespoons of the pasta water if you need to) and continue to cook until the tomatoes begin to fall apart, about 5 to 7 minutes more. Add half of the cooked bacon back to the skillet and toss to combine.
Step 3
Increase the heat to medium-high and add the pasta directly to the skillet tossing to coat with the sauce. Add the arugula and ¼ cup of the pasta water, and carefully toss (you'll have a very full pan) until the arugula wilts. Add the cheese and another ¼ cup pasta water, and toss together until the cheese emulsifies and the pasta is glossy with sauce. If needed, add another ¼ cup pasta water to loosen the sauce.
Step 4
Serve in bowls and top with remaining bacon. Pass the grated Pecorino Romano at the table and season with flaky salt, if desired.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1019489-blt-pasta"
"Dumpling Noodle Soup","Noodles,Bok Choy,Broccoli,Dumpling,Soup,Dinner,Easy,Lunch,Quick,Weeknight,Main Course,Fall,Winter,Vegetarian","Yield: 4 servings","
Kosher salt (such as Diamond Crystal)
6
ounces thin dried wheat, egg or rice noodles
1
tablespoon sesame oil
1
(2-inch) piece ginger, grated
2
garlic cloves, peeled and grated
1
teaspoon ground turmeric
6
cups vegetable stock
2
tablespoon white miso paste
16
ounces frozen dumplings (not thawed)
4
baby bok choy (about 12 ounces), trimmed and each cut into 4 pieces through the stem
1
small head broccoli (about 9 ounces), cut into bite-size florets

Handful of cilantro or chopped scallions, for serving","2784 user ratings","25 minutes","Step 1
Bring a large pot of salted water to a boil. Add the noodles and cook according to package instructions, until the noodles are just tender. Drain, rinse with cold water and drain well again. Divide them among four serving bowls.
Step 2
Place the same large pot over medium heat, and add sesame oil, ginger, and garlic. Stir and cook for 30 seconds, until aromatic. Add turmeric, and stir for 15 seconds, until fragrant.
Step 3
Pour the vegetable stock into the pot, then season with 1 teaspoon of salt. Cover and cook for 8 to 10 minutes on medium heat, to allow flavors to meld.
Step 4
Remove the lid and add the miso paste, stirring constantly until it is dissolved. Taste, and season with more salt, if needed.
Step 5
Increase the heat to medium-high, and carefully drop the dumplings into the broth. When they float to the top, add the baby bok choy and broccoli, and cook for about 2 minutes, just until the broccoli is crisp-tender.
Step 6
Ladle the broth, dumplings, baby bok choy and broccoli into the four bowls over the noodles. To serve, top with cilantro or chopped scallions.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1022937-dumpling-noodle-soup"
"Chili","Bean,Chili,Chili Powder,Chipotles In Adobo,Cocoa Powder,Freezer Friendly,Ground Beef,Ground Cumin,Make Ahead,Dinner,Main Course,Fall,Winter,Halloween,Super Bowl","Yield: 6 to 8 servings","2
tablespoons neutral oil, such as grapeseed
2
pounds ground beef, preferably 20 percent fat

Salt and pepper
1
large yellow onion, coarsely chopped
4
garlic cloves, finely chopped or grated
1
tablespoon ground cumin
1
tablespoon store-bought or homemade chili powder, plus more if needed
1
chipotle pepper in adobo plus 1 teaspoon sauce (or 1 additional tablespoon chili powder)
1
(15-ounce) can tomato sauce
1
tablespoon unsweetened cocoa powder
2
(15-ounce) cans beans (such as pinto, black or any bean you like in chili), with their liquid
1½
teaspoons apple cider vinegar, plus more if needed

Grated sharp Cheddar, sour cream, hot sauce, sliced scallions, chopped white onion, cilantro leaves, crushed tortilla or corn chips, for serving (optional)","408 user ratings","1½ hours","Step 1
Heat the oil in a large pot or Dutch oven over medium-high. Working in batches if necessary to avoid crowding the pot, use your hands to break the beef into small chunks (about 2 inches each) and add a single layer to the pot. Season with salt and pepper, then cook, flipping once, until browned on two sides, 4 to 6 minutes. (Meat won’t be cooked through.) Transfer to a bowl, leaving the fat in the pot.
Step 2
Reduce heat to medium, add the onion and season with salt and pepper. Cook until softened, 3 to 4 minutes. Add the garlic, cumin and chili powder, and stir until fragrant, 1 to 2 minutes. Add the chipotle pepper and adobo sauce, plus the beef and any juices in the bowl. Use a spoon or potato masher to break up the beef into small pieces. Stir in the tomato sauce and cocoa powder. Cover, reduce heat to low and cook, stirring frequently to avoid scorching, until the beef is tender and the sauce is flavorful, 25 to 30 minutes.
Step 3
Add the beans, including their liquid, and cook, uncovered, stirring often, until the liquid is slightly thickened and the beans are warm, 10 to 15 minutes. Let sit for 5 minutes, then stir in the apple cider vinegar. Taste and add salt until chili is rich and loudly spiced. Eat with desired toppings. Chili keeps for up to 3 days refrigerated; warm over low heat and adjust consistency and seasonings with water, salt, vinegar and chili powder. (Leftovers will keep for up to 4 months if frozen.)
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023921-chili"
"Bean and Cheese Burritos","Mexican,Burrito,Flour Tortilla,Freezer Friendly,Pinto Bean,Sharp Cheddar Cheese,Tortilla,Dinner,Weeknight,Main Course,Vegetarian","Yield: 6 burritos","4
tablespoons safflower or canola oil
½
cup finely chopped yellow onion (from ½ medium onion)
½
cup finely chopped green bell pepper (from ½ pepper)

Salt and black pepper
2
garlic cloves, minced
2
(15-ounce) cans pinto beans, ½ cup of bean liquid reserved and the rest drained
½
cup store-bought or homemade pico de gallo or salsa
¼
teaspoon smoked paprika
6
(9- to 10-inch) flour tortillas
2
cups shredded sharp Cheddar (8 ounces)

Sour cream and hot sauce, for serving","3952 user ratings","40 minutes","Step 1
In a large nonstick skillet, heat 2 tablespoons of the oil over medium. Add onion and bell pepper, season with salt and pepper, and cook, stirring occasionally, until light golden and tender, about 8 minutes. Stir in garlic until fragrant, 1 minute. Add pinto beans, pico de gallo, smoked paprika, reserved bean liquid and ½ cup of water, and bring to a simmer. Cook, stirring and mashing occasionally with a potato masher or the back of a spoon, until liquid is absorbed and mixture is thick, about 8 minutes. Season with salt and pepper. Transfer refried beans to a bowl, and wipe out skillet.
Step 2
Spread ½ cup of the refried beans in the center of each tortilla and top each with ⅓ cup of the cheese. Fold the short sides of the tortilla over the filling; fold the bottom of the tortilla up and over the filling and tightly roll.
Step 3
In the skillet, heat 1 tablespoon of the oil over medium. Add 3 burritos seam side down and cook until golden, turning occasionally, 3 to 5 minutes. Transfer to serving plates and repeat with the remaining 1 tablespoon oil and 3 burritos. Serve warm with sour cream and hot sauce on the side.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1022532-bean-and-cheese-burritos"
"Mattar Paneer (Peas and Paneer in Spiced Tomato Gravy)","Indian,Curries,Cashew Butter,Extra Firm Tofu,Paneer,Pea,Plum Tomato,Dinner,For Two,Quick,Weeknight,Main Course,Vegetarian","Yield: 2 to 4 servings","¼
cup ghee or neutral oil
½
pound paneer or extra-firm tofu, cut into 1-inch cubes and patted very dry
1
medium yellow onion, finely chopped
½
teaspoon ginger paste or freshly grated ginger
½
teaspoon garlic paste or freshly grated garlic
1
teaspoon cumin seeds
¾
teaspoon kashmiri or other red chile powder
¼
teaspoon turmeric powder
3
medium plum tomatoes, finely chopped
1
teaspoon fine sea salt
2
tablespoons cashew butter
8
ounces frozen (no need to thaw) or fresh green peas (about 1¾ cups)
3
tablespoons heavy cream or cashew cream (optional)
½
teaspoon garam masala

Rice or roti, for serving","2725 user ratings","25 minutes","Step 1
Heat ghee in a large frying pan or medium wok on high for 30 seconds, or until it is melted. Lower heat to medium and lightly fry paneer or tofu cubes, turning frequently, until they are golden on all sides, about 5 minutes. Remove and set aside on a plate lined with a paper towel.
Step 2
In the same frying pan or wok, add onion, ginger and garlic, and cook on medium, stirring occasionally, for 5 to 7 minutes or until onions are translucent.
Step 3
Add cumin seeds, chile powder and turmeric, and stir until fragrant, about 30 seconds to 1 minute. Stir in tomatoes and salt. Add ¾ cup water. Simmer on medium until the mixture thickens slightly, about 3 to 5 minutes.
Step 4
Lower the heat to medium-low, and stir in cashew butter. Add peas and paneer. Stir to combine. Simmer for 5 minutes or until it reaches your desired thickness. Top with heavy cream in a swirl, if you like. Sprinkle with garam masala. Serve with rice or roti.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023017-mattar-paneer-peas-and-paneer-in-spiced-tomato-gravy"
"Crisp Gnocchi With Brussels Sprouts and Brown Butter","Pastas,Brown Butter,Brussels Sprout,Gnocchi,Skillet,Dinner,Easy,Lunch,Quick,Weeknight,Main Course,Fall,Winter","Yield: 4 servings","1
pound brussels sprouts (or cruciferous vegetables like broccoli, cauliflower or even cabbage)
1
lemon
4
tablespoons extra-virgin olive oil

Kosher salt (such as Diamond Crystal) and black pepper
½
teaspoon red-pepper flakes
1
(18-ounce) package shelf-stable or refrigerated potato gnocchi
6
tablespoons unsalted butter, sliced into 6 pieces
½
teaspoon honey

Freshly grated Parmesan, for serving","14395 user ratings","20 minutes","Step 1
Trim and halve the brussels sprouts. Using a vegetable peeler, peel thick strips of lemon zest, then coarsely chop. (You should have about 2 teaspoons chopped zest.)
Step 2
In a large (preferably 12-inch) skillet, heat 3 tablespoons olive oil over medium-high. Add the brussels sprouts, season with ½ teaspoon salt and a few grinds of pepper, then arrange the brussels sprouts in an even layer, cut side down. Scatter the lemon zest over the top and cook, undisturbed, until the brussels sprouts are well browned underneath, 3 to 5 minutes. Add the red-pepper flakes, stir and cook until the brussels sprouts are crisp-tender, 2 to 3 minutes. Transfer to a medium bowl.
Step 3
In the same skillet, heat the remaining 1 tablespoon olive oil over medium-high. Break up any gnocchi that are stuck together, add them to the pan and cook, covered and undisturbed, until golden brown on one side, 2 to 4 minutes. Add the butter and honey, season with salt and a generous amount of black pepper, and cook, stirring, until the butter is golden, nutty smelling and foaming, 1 to 2 minutes. Stir in the brussels sprouts until warmed through. Serve with grated Parmesan.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1020453-crisp-gnocchi-with-brussels-sprouts-and-brown-butter"
"Sheet-Pan Cajun Salmon","Seafood,Asparagus,Cajun Seasoning,Potato,Salmon,Sheet Pan,Weekday,Main Course,Kwanzaa","Yield: 4 servings","4
(8-ounce) skin-on salmon fillets, pin bones removed
4
tablespoons extra-virgin olive oil
1
teaspoon Cajun seasoning
1
teaspoon smoked paprika

Kosher salt (such as Diamond Crystal) and black pepper
1
pound baby potatoes
1
pound thick asparagus stalks, trimmed (see Tip)
2
garlic cloves, chopped","852 user ratings","30 minutes","Step 1
Heat oven to 425 degrees. Place salmon on a plate, skin side up. Using a sharp knife, make a cut into the skin about ⅛-inch deep, in 3 different places, making sure not to cut all the way through the flesh. In a medium bowl, mix together 2 tablespoons olive oil with the Cajun seasoning, paprika and 1 teaspoon salt. Pour over the salmon to coat it on both sides and set aside to marinate while you prepare the rest of the dish.
Step 2
To a rimmed sheet pan, add potatoes, 1 tablespoon olive oil, 1 teaspoon salt and pepper to taste. Toss to coat and roast for about 15 minutes until tender. (Larger potatoes may take longer.)
Step 3
As potatoes roast, toss the asparagus with the garlic, the remaining 1 tablespoon oil, 1 teaspoon salt and pepper to taste.
Step 4
Move the potatoes to one end of the pan and place salmon skin side up next to them. Add asparagus in an even layer to the other end of the pan, and roast everything together for 10 to 13 minutes, until the asparagus is tender and the salmon is cooked to taste. If you’d like the skin to be crispy, you can transfer the vegetables from the pan to a serving platter and pop the fish under the broiler for 1 to 2 minutes. Serve hot.
The thicker the asparagus, the better, as the steam from the fish can make thinner asparagus soggy.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1021930-sheet-pan-cajun-salmon"
"Crispy Sheet-Pan Noodles With Glazed Tofu","Noodles,Bok Choy,Extra Firm Tofu,Hoisin Sauce,Ramen Noodle,Sesame Oil,Sheet Pan,Dinner,Easy,Main Course,Vegan,Vegetarian","Yield: 4 servings","For the Noodles
3
blocks instant ramen noodles (about 9 ounces), flavor packets discarded
2
tablespoons sesame oil
2
tablespoons neutral oil, such as grapeseed or vegetable
2
tablespoons soy sauce

Kosher salt (such as Diamond Crystal)
1
(14-ounce) package extra-firm tofu, patted dry and cut into ¼-inch-thick slices
3
baby bok choy, trimmed and sliced vertically into 4 pieces

Handful of cilantro leaves
For the Marinade
2
tablespoons hoisin
1
tablespoon sesame oil
1
tablespoon maple syrup
1
garlic clove, grated
1
teaspoon sesame seeds","3906 user ratings","35 minutes","Step 1
Heat oven to 450 degrees and place one rack on the top and one on the bottom. Fill a kettle or medium pot with water (about 8 cups) and bring to a boil. Place the noodles in a heatproof bowl and cover with boiling water. Soak for 5 minutes, then drain. Set aside the bowl to use in Step 5.
Step 2
Make the marinade: In a medium bowl, whisk to combine the hoisin sauce, sesame oil, maple syrup, garlic and sesame seeds.
Step 3
Place the noodles on a sheet pan. Add the sesame oil, 1 tablespoon neutral oil, soy sauce and ½ teaspoon kosher salt. Toss to combine, then evenly spread out the noodles.
Step 4
Dip each tofu slice into the marinade, coating both sides, then add them to the sheet pan, pushing the noodles aside so that the tofu touches the pan and doesn’t just sit on top of the noodles. Place on the bottom rack of the oven and bake for 15 minutes. Reserve excess marinade.
Step 5
Place the baby bok choy into the reserved bowl, then add the remaining 1 tablespoon neutral oil and ½ teaspoon kosher salt, and toss to coat.
Step 6
Remove the sheet pan from the oven (the noodles should be crisp on the bottom and at the edges) and add the bok choy to the pan. Return the sheet pan to the top rack of the oven and bake for 4 to 7 minutes until the greens are vibrant with crispy edges, and the top of the noodles are crispy. Drizzle with the remaining marinade, top with cilantro leaves and serve.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1022637-crispy-sheet-pan-noodles-with-glazed-tofu"
"Crispy Sour Cream and Onion Chicken","Poultry,Chicken Breast,Chive,Panko,Sour Cream,Weekday,Main Course","Yield: 4 servings","4
boneless, skinless chicken breasts, halved horizontally (see Tip) and pounded ⅛-inch thick, or use 4 chicken cutlets (don’t split or pound)

Salt and black pepper
½
cup sour cream or Greek yogurt
¼
cup thinly sliced chives (or 1 tablespoon dried chives), plus more for serving
2
tablespoons onion powder
2
cups panko bread crumbs

Canola oil, for frying
1
lemon, cut into wedges","6378 user ratings","35 minutes","Step 1
Pat chicken dry, and season both sides with salt and pepper.
Step 2
In a medium bowl, stir together the sour cream, chives and 1 tablespoon onion powder. Season with salt and pepper. Add the chicken and turn to coat. (Chicken can sit in the marinade for up to 8 hours. Refrigerate, then let come to room temperature before cooking.)
Step 3
In a shallow bowl or lipped plate, stir together the panko and remaining 1 tablespoon onion powder; season with salt and pepper.
Step 4
Working one at a time, press the chicken breasts into the panko, using your fingers to pack the panko onto both sides of the chicken, and place on a large plate or a sheet pan.
Step 5
Line a plate with paper towels. Heat ⅛-inch canola oil in a large skillet over medium-high. Drop a piece of panko in: If it sizzles, the oil’s ready. Add a chicken cutlet (or two, if they can fit comfortably), and cook until golden brown, 3 to 5 minutes per side. Transfer to the paper towel-lined plate and sprinkle with salt. Repeat with remaining chicken, adding and heating more oil as needed, and removing excess panko from the pan with a slotted spoon.
Step 6
Serve chicken with more chives and lemon wedges for squeezing.
Freezing the chicken breasts for 15 minutes to firm them up will make slicing them through the middle easier.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1021131-crispy-sour-cream-and-onion-chicken"
"Shrimp Scampi With Orzo","One Pot,Pastas,Seafood,Dry White Wine,Italian American,Orzo,Shrimp,Skillet,Dinner,Easy,Quick,Main Course","Yield: 4 servings","1
pound large shrimp, peeled and deveined
3
tablespoons extra-virgin olive oil
1
tablespoon lemon zest, plus 1 tablespoon juice (from 1 lemon)
½
teaspoon red-pepper flakes

Kosher salt (such as Diamond Crystal) and black pepper
4
garlic cloves, minced
2
tablespoons unsalted butter
1
cup orzo
⅓
cup dry white wine
2
cups boiling water, seafood stock or chicken stock
3
tablespoons finely chopped parsley","9517 user ratings","25 minutes","Step 1
In a medium bowl, stir together shrimp, 1 tablespoon olive oil, lemon zest, red-pepper flakes, ½ teaspoon salt, ¼ teaspoon pepper and half of the garlic. Set aside to marinate. (This step can be done up to 1 hour in advance.)
Step 2
Add butter, remaining olive oil and remaining garlic to a medium skillet set over medium heat. When the butter starts to bubble, add the orzo and ½ teaspoon salt and cook, stirring often, until the orzo is toasted, about 2 minutes, adjusting the heat as necessary to prevent the garlic from burning. Carefully add the wine — it will bubble — and stir until absorbed, about 1 minute. Stir in water, reduce heat to low, cover, and cook until orzo is al dente, about 12 minutes.
Step 3
Add the shrimp in a snug, even layer on top of the orzo, cover, and cook until all the shrimp is pink and cooked through, 2 to 4 minutes. Remove from heat and let sit, covered, 2 minutes.
Step 4
Sprinkle with parsley and lemon juice, season with salt and pepper, and serve immediately.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1020330-shrimp-scampi-with-orzo"
"Ginger-Lime Chicken","Poultry,Chicken Breast,Chicken Thigh,Fresh Ginger,Lime Zest,Mayonnaise,Dinner,Easy,Quick,Weeknight,Main Course","Yield: 4 servings","1½ to 2
pounds boneless, skinless chicken thighs or breasts

Kosher salt (such as Diamond Crystal) and black pepper
⅓
cup mayonnaise
1
tablespoon lime zest (from about 2 limes), plus lime wedges, for serving
1
tablespoon finely grated fresh ginger (from a 3-inch piece of peeled ginger)","10013 user ratings","15 minutes","Step 1
Pat the chicken dry and season all over with 1½ teaspoons salt. In a medium bowl, stir together the mayonnaise, lime zest and ginger; season with salt and pepper. Add the chicken to the mayonnaise mixture and stir to coat. (The chicken can sit in the marinade for up to 8 hours in the fridge. Let come to room temperature before cooking.)
Step 2
To grill: Heat a grill to medium-high. Grill the chicken over direct heat until cooked through and juices run clear, about 5 minutes per side for thighs and about 4 minutes per side for breasts, turning as necessary to avoid burning.
Step 3
To cook in a skillet: Heat a large skillet over medium-high. Cook the chicken until juices run clear, about 5 minutes per side for thighs and about 4 minutes per side for breasts.
Step 4
Serve chicken with lime wedges, for squeezing on top.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1021294-ginger-lime-chicken"
"Cabbage Rolls With Walnuts and Sour Cream","Casserole,Dill,Make Ahead,Parsley,Savoy Cabbage,Sour Cream,Walnut,Dinner,Main Course,Vegetarian","Yield: 4 servings","2
medium yellow onions (about 1 pound), peeled, halved and sliced
¾
cup/170 grams unsalted butter

Fine sea salt and black pepper
1
large savoy cabbage (at least 2½ pounds)
1
teaspoon ground allspice
¾
teaspoon ground cinnamon
½
teaspoon ground cumin
1
cup/100 grams walnuts, roughly crushed with a mortar and pestle
3
tablespoons pine nuts
½
packed cup finely chopped fresh parsley leaves
½
packed cup finely chopped fresh dill, plus 1 tablespoon to serve
3
tablespoons fresh lemon juice (from 1 to 2 lemons)
1
heaping cup sour cream","307 user ratings","2½ hours","Step 1
Place the onions, ½ cup butter and 1½ teaspoons of salt in a medium saucepan. Cook over medium heat for 25 to 30 minutes, stirring occasionally, until softened and browned.
Step 2
While the onions cook, bring a large pot of salted water to a boil over high. Prepare the cabbage: Remove the very dark green outer leaves and save them for another use. Use a small knife to cut around the stem of the cabbage to release the base of the leaves; discard the core. Carefully peel off 12 leaves, taking care not to rip them. Set aside the remaining cabbage for later. Place the 12 leaves into the pot of boiling water and blanch for 2 minutes. Using tongs, remove the cabbage leaves and transfer to a large colander. Place in the sink under cold running water to cool down, then leave to strain.
Step 3
Once the onions are cooked, add the spices, walnuts and pine nuts and cook for another 5 minutes, stirring occasionally, until fragrant and lightly toasted. Place a heatproof sieve over a small saucepan and strain the mixture, reserving the spiced butter. Transfer the strained onion mixture to a medium bowl; combine with the parsley and dill, then set aside.
Step 4
Heat the oven to 375 degrees. Finely slice about 4 cups of the remaining unblanched cabbage and place it in a 9-by-13-inch baking dish. To fill the cabbage rolls, place the blanched leaves on a chopping board, stem side up. Use a peeler or a small sharp knife to shave the stem along its length so that it’s no longer raised and is level with the leaf. Divide the onion mixture into 12 portions (about 2 tablespoons each). With the stem side of a cabbage leaf facing you, place one portion of filling in the center of each leaf so it’s perpendicular to the stem. Bring the base and then the sides into the center, then roll the cabbage leaves all the way up to seal. Place each roll into the baking dish, seam side down, then pour over the lemon juice, dot with the remaining ¼ cup plain butter and sprinkle with ½ teaspoon salt.
Step 5
Cover the dish tightly with foil and bake the cabbage rolls for 1 hour. Remove the foil then return to the oven for about 20 minutes more, until nicely browned. Remove from the oven and allow to cool for 10 minutes.
Step 6
While the cabbage is cooling, add the sour cream to a small saucepan and heat over medium for 3 minutes, stirring constantly, to loosen and warm through. Don’t let it bubble at all; you don’t want it to split. At the same time, gently reheat the spiced butter in its saucepan until melted. Next, pour the sour cream into the cabbage roll dish; avoid pouring it directly on top of the rolls. Shake the dish gently to mix the sour cream in, then pour the spiced butter over the cabbage rolls. Sprinkle with the extra dill, season with a good grind of black pepper and serve directly from the baking dish.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023909-cabbage-rolls-with-walnuts-and-sour-cream"
"Homemade Hamburger Helper","American,One Pot,Pastas,American Cheese,Bacon,Cheddar,Dry White Wine,Ground Beef,Paprika,Dinner,Easy,Main Course","Yield: 4 servings","¼
cup neutral oil, such as canola or vegetable
1
large yellow onion, diced into ½-inch pieces

Salt and black pepper
3
garlic cloves, minced
5
strips uncooked smoked bacon, finely chopped
1
pound ground beef
1
cup dry white wine
3
cups chicken stock or water
¾
cup heavy cream
¼ to ⅓
cup hot sauce
2
teaspoons hot smoked paprika
1
bay leaf
8
ounces elbow pasta
5
slices American cheese, ripped into small pieces
1½
cups grated Cheddar
½
cup finely chopped chives","5847 user ratings","1 hour 15 minutes","Step 1
Heat a large (12-inch) sauté pan or Dutch oven over medium-low, and add oil and onion; season lightly with salt and pepper. (The hot sauce added in Step 6 will add a lot of flavor, so be careful not to overseason here.) Let cook until the onions turn light beige in color and begin to caramelize, 20 to 25 minutes.
Step 2
Add garlic and cook until fragrant and starting to brown ever so slightly, about 2 minutes.
Step 3
Increase heat to medium-high and add bacon and ground beef, using the back of a large spoon to break up the meat into smaller pieces. Continue to cook until the liquid has mostly evaporated and the meat starts to sear and develop a crust on the bottom of the pan, 12 to 15 minutes.
Step 4
Remove pan from the heat and carefully drain off most of the fat, leaving a little in the pan to keep the meat moist.
Step 5
Return pan to medium-high heat and add white wine, allowing it to reduce until the mixture is almost dry, about 10 minutes.
Step 6
Add the chicken stock, heavy cream, hot sauce, paprika and bay leaf to the pan. Mix until combined and bring to a boil.
Step 7
Once the mixture is boiling, add the pasta and cook until al dente, stirring often, about 9 minutes.
Step 8
Reduce the heat to low and stir in both types of cheese, stirring until completely melted and sauce is thickened.
Step 9
Remove the pan from heat, stir in chives and season to taste with salt and pepper. Serve immediately.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1020728-homemade-hamburger-helper"
"One-Pan Salmon Niçoise With Orzo","Seafood,Cherry Tomato,Green Bean,Kalamata Olives,Orzo,Salmon Fillet,Skillet,Dinner,Easy,Quick,Weeknight,Main Course","Yield: 4 servings","1
large shallot, coarsely chopped
2
tablespoons extra-virgin olive oil
1
cup orzo

Kosher salt (such as Diamond Crystal) and pepper
½
cup pitted kalamata olives
1
pint cherry or other small tomatoes, halved (8 to 10 ounces)
2
tablespoons red wine vinegar
1
tablespoon Dijon mustard

Handful of basil leaves or pinch of thyme leaves (optional)
4
(4- to 5-ounce) salmon fillets, skin on or off
8
ounces green beans, trimmed and cut into 1-inch lengths","817 user ratings","35 minutes","Step 1
Transfer 1 tablespoon of the chopped shallot to a medium bowl, then add the remaining shallot to a large (12-inch) skillet. Add 1 tablespoon oil to the skillet and heat over medium high. When the oil is sizzling, add the orzo, season with ½ teaspoon each salt and pepper, and stir constantly until light golden, 2 to 4 minutes.
Step 2
Add the olives plus 2¼ cups water; bring to a boil, then cover the skillet with a lid, baking sheet or foil. Reduce heat to medium-low and cook according to package directions until the orzo is al dente.
Step 3
Meanwhile, add the tomatoes, red wine vinegar, mustard, herbs (if using) and the remaining 1 tablespoon oil to the reserved shallots in the bowl; season to taste with salt and pepper then set aside. Season the salmon with salt and pepper.
Step 4
When the orzo is al dente, add the green beans and stir to combine. If orzo looks dry, add ¼ cup water; you want it to be wet but not soupy. Nestle the salmon in a single layer into the orzo, skin-side up if applicable. Cover and cook until the salmon and orzo are cooked through, 6 to 8 minutes. Remove from heat and let sit, covered, for 2 minutes. If your salmon has skin, peel it off and discard. Top the orzo and salmon with the tomatoes and vinaigrette.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023943-one-pan-salmon-nicoise-with-orzo"
"Soy-Glazed Salmon Hand Rolls","","Yield: 4 servings","3
tablespoons neutral oil, such as safflower or canola
½
teaspoon minced garlic
⅓
cup low-sodium soy sauce
⅓
cup mirin
3
tablespoons granulated sugar
¼
teaspoon black pepper
¼
teaspoon kosher salt (Diamond Crystal), plus more for seasoning
½
teaspoon peeled grated ginger
1
(1½-pound) skinless salmon fillet (preferably center-cut)

Toasted seaweed sheets, quartered

Cooked short-grain rice and wasabi paste (optional), for serving
3
Persian cucumbers, halved crosswise and cut lengthwise into thin spears
1 to 2
avocados, pitted and thinly sliced","1104 user ratings","30 minutes","Step 1
Heat oven to 425 degrees. In a small saucepan, heat 2 tablespoons of the oil over medium. Stir in garlic until fragrant, 30 seconds. Add soy sauce, mirin, sugar, black pepper and ¼ teaspoon salt, and bring to a simmer. Reduce heat to medium-low and cook, stirring occasionally, until sauce is reduced by about a third and has thickened slightly, 10 to 15 minutes. Stir in ginger and remove from heat. You should have about ½ cup sauce; reserve half of the sauce in a small bowl for serving and set aside.
Step 2
Line a sheet pan with aluminum foil. Place salmon on the prepared sheet, rub with the remaining 1 tablespoon oil and season with salt. Coat the salmon on both sides with the other half of the sauce.
Step 3
Roast salmon for 5 minutes, then baste with the sauce that’s dripped onto the sheet tray. Continue to roast until salmon is just cooked to medium, about 5 minutes longer. Transfer salmon to a large plate.
Step 4
Flake salmon into bite-size pieces and drizzle with the reserved sauce. To build hand rolls, top seaweed with some rice (if using), cucumbers, avocado and salmon. Wrap and enjoy. Serve with optional wasabi on the side, and dab a little onto the salmon for a spicy hit.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023003-soy-glazed-salmon-hand-rolls"
